"","document.ID.1","document.ID.2","experiment.ID","processing.time","team.name"
"318",1,5,3,236,"Required"
"319",1,5,4,217,"Required"
"320",1,5,5,255,"Required"
"321",1,6,1,221,"Required"
"322",1,6,2,251,"Required"
"323",1,6,3,216,"Required"
"324",1,6,4,406,"Required"
"325",1,6,5,294,"Required"
"326",2,3,1,221,"Required"
"327",2,3,2,232,"Required"
"328",2,3,3,162,"Required"
"329",2,3,4,262,"Required"
"330",2,3,5,243,"Required"
"331",2,4,1,128,"Required"
"332",2,4,2,131,"Required"
"333",2,4,3,178,"Required"
"334",2,4,4,209,"Required"
"335",2,4,5,166,"Required"
"336",2,5,1,231,"Required"
"337",2,5,2,128,"Required"
"338",2,5,3,136,"Required"
"339",2,5,4,138,"Required"
"340",2,5,5,195,"Required"
"341",2,6,1,246,"Required"
"342",2,6,2,205,"Required"
"343",2,6,3,250,"Required"
"344",2,6,4,234,"Required"
"345",2,6,5,232,"Required"
"346",3,4,1,197,"Required"
"347",3,4,2,196,"Required"
"348",3,4,3,196,"Required"
"349",3,4,4,197,"Required"
"350",3,4,5,210,"Required"
"351",3,5,1,195,"Required"
"352",3,5,2,194,"Required"
"353",3,5,3,194,"Required"
"354",3,5,4,195,"Required"
"355",3,5,5,194,"Required"
"356",3,6,1,198,"Required"
"357",3,6,2,198,"Required"
"358",3,6,3,211,"Required"
"359",3,6,4,194,"Required"
"360",3,6,5,180,"Required"
"361",4,5,1,151,"Required"
"362",4,5,2,150,"Required"
"363",4,5,3,152,"Required"
"364",4,5,4,152,"Required"
"365",4,5,5,154,"Required"
"366",4,6,1,153,"Required"
"367",4,6,2,164,"Required"
"368",4,6,3,154,"Required"
"369",4,6,4,153,"Required"
"370",4,6,5,146,"Required"
"371",5,6,1,149,"Required"
"372",5,6,2,147,"Required"
"373",5,6,3,149,"Required"
"374",5,6,4,151,"Required"
"375",5,6,5,125,"Required"
